network,obj,trial,model,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NNSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A30_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NNSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A30_test,A20_test
0,MSE,3,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,106.525,106.528,0.776,1.022,0.79,0.623,0.111,0.726,0.707,0.583,38.727,62.467,0.933,0.86,0.901,1.222,0.724,0.472,0.14,0.655,0.606,0.634,-31.774,52.264,0.892,0.795
0,MSE,3,HHO-MLP,1000-50,194.288,194.292,0.647,0.875,0.851,0.724,0.092,0.783,0.812,0.677,11.811,72.367,0.948,0.896,0.798,1.14,0.766,0.541,0.123,0.685,0.674,0.707,-31.581,58.53,0.916,0.807
0,MSE,3,SSA-MLP,1000-50-0.8-0.2-0.1,197.826,197.83,0.509,0.689,0.91,0.829,0.07,0.854,0.882,0.688,8.871,82.874,0.974,0.938,0.726,1.068,0.793,0.597,0.115,0.713,0.683,0.756,-26.055,62.857,0.904,0.843
0,MSE,3,HGS-MLP,1000-50-0.03-1000,107.264,107.268,0.667,0.91,0.838,0.701,0.094,0.77,0.798,0.635,18.305,70.138,0.953,0.907,0.718,1.059,0.808,0.604,0.113,0.716,0.672,0.72,-34.529,65.195,0.916,0.831
0,MSE,3,MVO-MLP,1000-50-0.2-1.0,106.756,106.759,0.488,0.674,0.914,0.836,0.068,0.859,0.878,0.76,8.188,83.61,0.974,0.938,0.713,1.082,0.789,0.586,0.114,0.707,0.68,0.78,-28.62,62.314,0.904,0.831
0,MSE,3,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,105.6,105.604,0.464,0.651,0.92,0.847,0.064,0.867,0.884,0.75,9.182,84.708,0.969,0.953,0.743,1.141,0.771,0.54,0.121,0.685,0.662,0.72,-35.908,59.47,0.904,0.795
0,MSE,3,EO-MLP,1000-50,108.896,108.9,0.455,0.651,0.92,0.847,0.062,0.867,0.889,0.74,9.278,84.688,0.969,0.943,0.779,1.174,0.766,0.513,0.129,0.672,0.638,0.768,-42.579,58.669,0.904,0.819
0,MSE,3,CHIO-MLP,1000-50-0.06-150,118.625,118.628,0.599,0.806,0.88,0.765,0.08,0.81,0.877,0.682,14.964,76.537,0.959,0.912,0.859,1.211,0.74,0.482,0.134,0.659,0.658,0.671,-36.277,53.992,0.892,0.843
0,MSE,3,FBIO-MLP,1000-50,341.667,341.67,0.407,0.592,0.935,0.874,0.057,0.888,0.908,0.745,6.695,87.354,0.979,0.953,0.777,1.161,0.764,0.523,0.126,0.677,0.674,0.72,-36.624,58.133,0.916,0.807
0,MSE,3,SMA-MLP,1000-50-0.03,107.936,107.94,0.506,0.69,0.91,0.828,0.07,0.853,0.882,0.781,7.262,82.803,0.969,0.959,0.739,1.129,0.776,0.55,0.119,0.69,0.669,0.756,-34.606,60.102,0.88,0.831
0,MSE,3,CGO-MLP,1000-50,344.776,344.779,0.491,0.68,0.913,0.833,0.069,0.857,0.887,0.714,10.092,83.33,0.969,0.943,0.698,1.058,0.806,0.604,0.113,0.716,0.669,0.744,-32.821,64.876,0.904,0.843
0,MSE,3,AEO-MLP,1000-50,208.449,208.453,0.536,0.72,0.902,0.813,0.076,0.842,0.839,0.719,5.405,81.286,0.979,0.943,0.77,1.163,0.775,0.522,0.125,0.677,0.631,0.768,-44.916,60.055,0.892,0.807
0,MSE,3,IAEO-MLP,1000-50,209.398,209.401,0.536,0.737,0.897,0.804,0.076,0.836,0.851,0.703,11.078,80.405,0.974,0.933,0.727,1.065,0.808,0.599,0.116,0.714,0.65,0.744,-35.033,64.871,0.916,0.831
0,MSE,3,EAEO-MLP,1000-50,210.229,210.232,0.519,0.707,0.906,0.82,0.072,0.847,0.844,0.703,7.176,81.97,0.974,0.943,0.791,1.229,0.733,0.466,0.13,0.652,0.605,0.732,-40.474,53.609,0.904,0.807
